"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"522","CALS0113-A","Livestock","WTE-Dallmann, LLC","WTE:Dallmann, LLC",8642,8642,0.00%,"2014","CCO-0","Compliance",2018-12-22,2015-12-22,2015-12-22,"CAR1010"
"521","CAFR0042-H","U.S. Forest","The Conservation","Gualala River Forest",11982,0,100.00%,"2014","CCO-8","Early Action",2023-12-22,2015-12-22,2015-12-22,"CAR660"
"520","CAMM0101-D","Mine Methane","Solvay Chemicals, Inc.","Green River Trona Mine",143397,0,100.00%,"2014","CCO-0","Early Action",2019-01-26,2016-01-26,2016-01-26,"CAR629"
"519","CAMM0101-E","Mine Methane","Solvay Chemicals, Inc.","Green River Trona Mine",103591,0,100.00%,"2014","CCO-0","Early Action",2019-01-26,2016-01-26,2016-01-26,"CAR629"
"518","CALS0082-E","Livestock","Dairy Dreams, LLC","Dairy Dreams",19870,0,100.00%,"2014","CCO-0","Early Action",2019-03-08,2016-03-08,2016-03-08,"CAR994"
"517","CALS0082-F","Livestock","Dairy Dreams, LLC","Dairy Dreams",10591,0,100.00%,"2014","CCO-0","Early Action",2019-03-08,2016-03-08,2016-03-08,"CAR994"
"516","CAFR0026-J","U.S. Forest","David Dicktel","Blue Source :  Pungo River",2533,2533,0.00%,"2014","CCO-8","Compliance",2024-03-22,2016-03-22,2016-03-22,"CAR659"
"515","CAMM0120-A","Mine Methane","Vessels Coal Gas, Inc.","Elk Creek Coal Mine Methane",199146,0,100.00%,"2014","CCO-0","Compliance",2019-04-12,2016-04-12,2016-04-12,"CAR891"
"514","CALS0111-A","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy East",2762,0,100.00%,"2014","CCO-0","Early Action",2019-05-10,2016-05-10,2016-05-10,"CAR762"
"513","CALS0112-A","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy West",20464,0,100.00%,"2014","CCO-0","Early Action",2019-05-10,2016-05-10,2016-05-10,"CAR1007"
"512","CAMM0120-B","Mine Methane","Vessels Coal Gas, Inc.","Elk Creek Coal Mine Methane",64987,0,100.00%,"2014","CCO-0","Compliance",2019-06-21,2016-06-21,2016-06-21,"CAR891"
"511","CAFR0029-E","U.S. Forest","Mattamuskeet","Blue Source :  Alligator River",15878,0,100.00%,"2014","CCO-8","Compliance",2024-06-21,2016-06-21,2016-06-21,"CAR497"
"510","CAMM0115-C","Mine Methane","Vessels Coal Gas, Inc.","Cambria 33 Abandoned Mine",24729,0,100.00%,"2014","CCO-8","Compliance",2024-06-21,2016-06-21,2016-06-21,"559"
"509","CAFR0049-H","U.S. Forest","Fred M. van Eck","The Van Eck Forest",21403,2081,90.28%,"2014","CCO-0","Compliance",2019-07-12,2016-07-12,2016-07-12,"CAR101"
"508","CALS0107-B","Livestock","Holsum Dairies, LLC","Holsum Elm",23308,0,100.00%,"2014","CCO-0","Compliance",2019-07-12,2016-07-12,2016-07-12,"CAR599"
"507","CAFR0123-H","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",274013,92280,66.32%,"2014","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"506","CAMM0120-A2","Mine Methane","Vessels Coal Gas, Inc.","Elk Creek Coal Mine Methane",41703,7625,81.72%,"2014","CCO-0","Compliance",2019-08-23,2016-08-23,2016-08-23,"CAR891"
"505","CAMM0120-B2","Mine Methane","Vessels Coal Gas, Inc.","Elk Creek Coal Mine Methane",19328,19328,0.00%,"2014","CCO-0","Compliance",2019-08-23,2016-08-23,2016-08-23,"CAR891"
"504","CAMM0120-E","Mine Methane","Vessels Coal Gas, Inc.","Elk Creek Coal Mine Methane",35454,32590,8.08%,"2014","CCO-0","Compliance",2019-08-23,2016-08-23,2016-08-23,"CAR891"
"503","CAFR0100-B","U.S. Forest","Rips Redwoods, LLC","Rips Redwoods",5092,5092,0.00%,"2014","CCO-8","Early Action",2024-08-23,2016-08-23,2016-08-23,"CAR1015"
"502","CAFR0064-D","U.S. Forest","Yurok Tribe","Yurok Tribe Sustainable Forest",19606,0,100.00%,"2014","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR777"
"690","CAOD5001-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:1",107542,107542,0.00%,"2013","CCO-0","Compliance",2016-02-01,2013-02-01,2013-10-22,"CAR992"
"689","CAFR5011-A","U.S. Forest","Yurok Tribe","Yurok Tribe/Forest Carbon",704432,702865,0.22%,"2013","CCO-0","Compliance",2016-03-31,2013-03-31,2014-04-08,"CAR993"
"688","CAOD5004-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:2",55996,45148,19.37%,"2013","CCO-8","Compliance",2021-03-31,2013-03-31,2013-11-26,"ACR172"
"687","CAOD5013-A","Ozone Depleting Substances","Environmental Credit","ECC ODS Destruction 2013",255227,227807,10.74%,"2013","CCO-0","Compliance",2016-06-11,2013-06-11,2014-02-11,"ACR176"
"686","CAOD5007-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 1",50600,50000,1.19%,"2013","CCO-0","Compliance",2016-06-17,2013-06-17,2013-10-22,"ACR179"
"685","CAFR5003-A","U.S. Forest","Heartwood Forestland","Blue Source :  Bishop Improved",1748472,946153,45.89%,"2013","CCO-0","Compliance",2016-06-23,2013-06-23,2014-06-10,"CAR973"
"684","CAFR5016-A","U.S. Forest","Edward Miller Trust","Miller Forest",219084,219084,0.00%,"2013","CCO-8","Compliance",2021-06-30,2013-06-30,2014-06-24,"ACR189"
"683","CAOD5018-A","Ozone Depleting Substances","Reclamation","A:GAS RemTec 2013:1",93055,89436,3.89%,"2013","CCO-0","Compliance",2016-07-26,2013-07-26,2015-03-10,"CAR1011"
"682","CALS5014-A","Livestock","Blue Mountain Biogas,","Blue Mountain Biogas",24643,0,100.00%,"2013","CCO-0","Compliance",2016-07-31,2013-07-31,2014-11-12,"CAR997"
"681","CAFR5012-A","U.S. Forest","Hanes Ranch","Hanes Ranch Forest Carbon",86628,86628,0.00%,"2013","CCO-8","Compliance",2021-08-25,2013-08-25,2014-08-26,"ACR182"
"680","CAOD5015-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:6",51864,45829,11.64%,"2013","CCO-8","Compliance",2021-09-09,2013-09-09,2014-02-25,"ACR181"
"679","CALS5032-A","Livestock","New Energy One, LLC","New Energy One Livestock",43183,27743,35.75%,"2013","CCO-0","Compliance",2016-09-30,2013-09-30,2014-09-09,"CAR1022"
"678","CAOD5017-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:3",122800,71788,41.54%,"2013","CCO-8","Compliance",2021-10-01,2013-10-01,2014-04-08,"CAR995"
"677","CAOD5022-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",23276,15869,31.82%,"2013","CCO-0","Compliance",2016-10-06,2013-10-06,2014-03-25,"CAR1012"
"676","CAOD5024-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",46275,46275,0.00%,"2013","CCO-0","Compliance",2016-10-28,2013-10-28,2014-03-25,"CAR1016"
"675","CALS5023-A","Livestock","DF-AP#1, LLC","Big Sky Dairy",19179,0,100.00%,"2013","CCO-0","Compliance",2016-10-29,2013-10-29,2015-05-26,"ACR190"
"674","CALS5042-A","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",5005,5005,0.00%,"2013","CCO-0","Compliance",2016-10-31,2013-10-31,2014-11-25,"CAR1033"
"673","CAOD5027-A","Ozone Depleting Substances","RapRec Refrigerants,","RR ACR 2013",56124,12220,78.23%,"2013","CCO-0","Compliance",2016-11-01,2013-11-01,2015-04-21,"ACR196"
"672","CAOD5033-A","Ozone Depleting Substances","Environmental Credit","ECC ODS Destruction 11:2013",113438,113438,0.00%,"2013","CCO-0","Compliance",2016-11-03,2013-11-03,2015-01-27,"CAR1029"
"671","CAOD5026-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",24874,12465,49.89%,"2013","CCO-0","Compliance",2016-11-08,2013-11-08,2014-05-13,"CAR1025"
"670","CAOD5009-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:5",126155,124807,1.07%,"2013","CCO-8","Compliance",2021-11-21,2013-11-21,2014-03-25,"CAR1000"
"669","CAFR5028-A","U.S. Forest","Round Valley Indian","Round Valley Indian Tribes",464571,334078,28.09%,"2013","CCO-0","Compliance",2016-11-30,2013-11-30,2015-01-27,"ACR173"
"668","CAFR5029-A","U.S. Forest","Brookgreen Gardens","Green Assets:Brookgreen",162551,162551,0.00%,"2013","CCO-8","Compliance",2021-12-06,2013-12-06,2015-01-13,"ACR192"
"667","CAOD0059-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS:2013 Domestic",130010,130010,0.00%,"2013","CCO-0","Compliance",2016-12-10,2013-12-10,2013-12-10,"CAR990"
"666","CAOD5031-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 2",88044,88044,0.00%,"2013","CCO-0","Compliance",2016-12-15,2013-12-15,2014-03-25,"ACR198"
"665","CALS5044-A","Livestock","ClimeCo Corporation","T&M Bos Dairy",10993,0,100.00%,"2013","CCO-0","Compliance",2016-12-31,2013-12-31,2015-04-07,"CAR1055"
"664","CALS5046-A","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",14031,14031,0.00%,"2013","CCO-0","Compliance",2016-12-31,2013-12-31,2015-04-07,"CAR1057"
"663","CALS5047-A","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",28626,28626,0.00%,"2013","CCO-0","Compliance",2016-12-31,2013-12-31,2015-04-07,"CAR1058"
"661","CAFR5037-A","U.S. Forest","Heartwood Forestland","Virginia Highlands I",156167,56167,64.03%,"2013","CCO-8","Compliance",2021-12-31,2013-12-31,2015-09-08,"CAR1032"
"660","CALS5060-A","Livestock","Van Erk Dairy, LLC","Van:Erk Digester Project",3739,0,100.00%,"2013","CCO-8","Compliance",2021-12-31,2013-12-31,2015-06-23,"CAR1064"
"659","CAOD0061-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",38517,38514,0.01%,"2013","CCO-0","Compliance",2017-01-21,2014-01-21,2014-01-21,"ACR183"
"658","CAOD0062-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",53490,52083,2.63%,"2013","CCO-0","Compliance",2017-01-21,2014-01-21,2014-01-21,"CAR1003"
"657","CAOD0059-B","Ozone Depleting Substances","EOS Climate, Inc.","EOS:2013 Domestic",100189,99477,0.71%,"2013","CCO-8","Compliance",2022-01-21,2014-01-21,2014-01-21,"CAR990"
"656","CALS0013-C","Livestock","Camco International","Central Sands Dairy LLC",13486,13486,0.00%,"2013","CCO-0","Early Action",2017-04-22,2014-04-22,2014-04-22,"CAR479"
"655","CALS0020-C","Livestock","Camco International","Bridgewater Dairy LLC",13808,13808,0.00%,"2013","CCO-0","Compliance",2017-04-22,2014-04-22,2014-04-22,"CAR474"
"654","CAOD0059-C","Ozone Depleting Substances","EOS Climate, Inc.","EOS:2013 Domestic",95469,95469,0.00%,"2013","CCO-0","Compliance",2017-05-13,2014-05-13,2014-05-13,"CAR990"
"653","CALS0021-B","Livestock","Camco International","Willow Point Dairy, LLC",14985,0,100.00%,"2013","CCO-0","Early Action",2017-08-12,2014-08-12,2014-08-12,"CAR463"
"652","CALS0034-A","Livestock","Origin Climate Inc.","Green Valley Dairy",12389,10820,12.66%,"2013","CCO-0","Early Action",2017-08-26,2014-08-26,2014-08-26,"CAR504"
"651","CALS0012-C","Livestock","Camco International","Riverview Farm Anaerobic",30840,26135,15.26%,"2013","CCO-0","Early Action",2017-09-09,2014-09-09,2014-09-09,"CAR449"
"650","CALS0014-C","Livestock","Camco International","West River Farm Anaerobic",23873,23873,0.00%,"2013","CCO-0","Early Action",2017-09-09,2014-09-09,2014-09-09,"CAR450"
"649","CALS0015-C","Livestock","Camco International","District 45 Dairy",21466,21466,0.00%,"2013","CCO-0","Compliance",2017-09-09,2014-09-09,2014-09-09,"CAR775"
"648","CAOD0091-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas ODS 2013 Project #1",108627,108627,0.00%,"2013","CCO-0","Early Action",2017-09-09,2014-09-09,2014-09-09,"CAR1023"
"647","CALS0024-C","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",43263,43263,0.00%,"2013","CCO-0","Early Action",2017-10-07,2014-10-07,2014-10-07,"CAR478"
"646","CALS0023-B","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",9198,7951,13.56%,"2013","CCO-0","Compliance",2017-11-25,2014-11-25,2014-11-25,"CAR477"
"645","CAOD0072-B","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 2013",122048,20628,83.10%,"2013","CCO-0","Compliance",2017-11-25,2014-11-25,2014-11-25,"ACR184"
"644","CAOD0072-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 2013",126977,112089,11.72%,"2013","CCO-8","Compliance",2022-11-25,2014-11-25,2014-11-25,"ACR184"
"643","CALS0043-B","Livestock","Camco International","Vanderhyde Dairy",7426,7426,0.00%,"2013","CCO-0","Compliance",2018-01-13,2015-01-13,2015-01-13,"CAR944"
"642","CAFR0001-J","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",128362,42572,66.83%,"2013","CCO-8","Early Action",2023-01-13,2015-01-13,2015-01-13,"CAR661"
"641","CALS0055-B","Livestock","Camco International","Double A Dairy",46875,46875,0.00%,"2013","CCO-0","Early Action",2018-01-27,2015-01-27,2015-01-27,"CAR956"
"640","CAFR0063-H","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",44208,6967,84.24%,"2013","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"639","CALS0094-A","Livestock","Camco International","Willet Dairy",10543,9967,5.46%,"2013","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR977"
"638","CAMM0095-D","Mine Methane","Biothermica Coal","Vamox® Demonstration Project",10379,0,100.00%,"2013","CCO-0","Compliance",2018-02-24,2015-02-24,2015-02-24,"CAR577"
"637","CAMM0098-B","Mine Methane","Verdeo McElroy, LLC","Verdeo McElroy VAM",152828,111471,27.06%,"2013","CCO-0","Compliance",2018-02-24,2015-02-24,2015-02-24,"CAR793"
"636","CALS0097-A","Livestock","Camco International","Gardeau Crest Dairy",9058,9058,0.00%,"2013","CCO-0","Early Action",2018-03-10,2015-03-10,2015-03-10,"CAR978"
"635","CALS0096-A","Livestock","Camco International","Synergy Biogas, LLC",7001,7001,0.00%,"2013","CCO-0","Early Action",2018-03-24,2015-03-24,2015-03-24,"CAR957"
"634","CALS0071-A","Livestock","Grotegut Dairy Farm,","Grotegut Dairy Farm, Inc.",11679,11679,0.00%,"2013","CCO-0","Compliance",2018-04-21,2015-04-21,2015-04-21,"CAR612"
"633","CALS0075-B","Livestock","Environmental Credit","Patterson Farms",5895,5264,10.70%,"2013","CCO-0","Compliance",2018-04-21,2015-04-21,2015-04-21,"CAR602"
"632","CAFR0070-A","U.S. Forest","Berry Summit, LLC"," Berry Summit",193277,193277,0.00%,"2013","CCO-0","Early Action",2018-05-12,2015-05-12,2015-05-12,"CAR1004"
"631","CALS0083-B","Livestock","Camco International","The Dry Creek Dairy",29905,29905,0.00%,"2013","CCO-0","Compliance",2018-06-23,2015-06-23,2015-06-23,"CAR402"
"630","CALS0104-A","Livestock","Camco International","Storms Hog Power, LLC",3698,0,100.00%,"2013","CCO-0","Compliance",2018-06-23,2015-06-23,2015-06-23,"CAR1014"
"629","CAFR0042-G","U.S. Forest","The Conservation","Gualala River Forest",564,0,100.00%,"2013","CCO-8","Early Action",2023-09-08,2015-09-08,2015-09-08,"CAR660"
"628","CALS0082-B","Livestock","Dairy Dreams, LLC","Dairy Dreams",7169,0,100.00%,"2013","CCO-0","Early Action",2018-10-13,2015-10-13,2015-10-13,"CAR994"
"627","CALS0099-C","Livestock","Cargill, Inc.","The B6 Dairy Farm",12039,0,100.00%,"2013","CCO-8","Compliance",2023-10-13,2015-10-13,2015-10-13,"CAR593"
"626","CAFR0103-G","U.S. Forest","MWF Brimstone"," MWF",5935,0,100.00%,"2013","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR582"
"625","CAFR0064-C","U.S. Forest","Yurok Tribe","Yurok Tribe Sustainable Forest",25033,0,100.00%,"2013","CCO-0","Early Action",2018-11-09,2015-11-09,2015-11-09,"CAR777"
"624","CALS0114-B","Livestock","Fiscalini Properties,","Fiscalini Farms Anaerobic",5955,5955,0.00%,"2013","CCO-0","Early Action",2018-11-09,2015-11-09,2015-11-09,"CAR589"
"623","CAFR0040-D","U.S. Forest","The Conservation","Garcia River Forest",81,81,0.00%,"2013","CCO-8","Early Action",2023-11-09,2015-11-09,2015-11-09,"CAR102"
"622","CAMM0118-D","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",138571,0,100.00%,"2013","CCO-8","Compliance",2023-11-09,2015-11-09,2015-11-09,"573"
"621","CALS0119-B","Livestock","ClimeCo Corporation","Sunnyside Farms Inc",13942,0,100.00%,"2013","CCO-0","Compliance",2018-12-08,2015-12-08,2015-12-08,"CAR606"
"620","CALS0109-A","Livestock","Camco International","Alliance Dairies",1282,0,100.00%,"2013","CCO-0","Early Action",2018-12-22,2015-12-22,2015-12-22,"CAR1001"
"619","CALS0081-B","Livestock","Camco International","Edaleen Cow Power, LLC",7282,0,100.00%,"2013","CCO-0","Compliance",2019-01-26,2016-01-26,2016-01-26,"CAR980"
"618","CAMM0101-C","Mine Methane","Solvay Chemicals, Inc.","Green River Trona Mine",83099,0,100.00%,"2013","CCO-0","Early Action",2019-01-26,2016-01-26,2016-01-26,"CAR629"
"617","CAMM0115-B","Mine Methane","Vessels Coal Gas, Inc.","Cambria 33 Abandoned Mine",26595,0,100.00%,"2013","CCO-8","Compliance",2024-02-09,2016-02-09,2016-02-09,"559"
"616","CAFR0116-G","U.S. Forest","New England Forestry"," NEFF",3082,2685,12.88%,"2013","CCO-8","Early Action",2024-02-23,2016-02-23,2016-02-23,"CAR672"
"615","CAFR0026-I","U.S. Forest","David Dicktel","Blue Source :  Pungo River",1362,1362,0.00%,"2013","CCO-8","Compliance",2024-03-22,2016-03-22,2016-03-22,"CAR659"
"614","CAFR0100-A","U.S. Forest","Rips Redwoods, LLC","Rips Redwoods",93659,93659,0.00%,"2013","CCO-8","Early Action",2024-04-26,2016-04-26,2016-04-26,"CAR1015"
"613","CAFR0029-D","U.S. Forest","Mattamuskeet","Blue Source :  Alligator River",67592,0,100.00%,"2013","CCO-8","Compliance",2024-06-21,2016-06-21,2016-06-21,"CAR497"
"612","CALS0124-B","Livestock","Grey K Trading","Cottonwood Dairy Livestock",16645,0,100.00%,"2013","CCO-8","Compliance",2024-06-21,2016-06-21,2016-06-21,"CAR393"
"611","CAFR0049-G","U.S. Forest","Fred M. van Eck","The Van Eck Forest",18831,0,100.00%,"2013","CCO-0","Compliance",2019-07-12,2016-07-12,2016-07-12,"CAR101"
"610","CALS0122-A","Livestock","The Climate Trust","Farm Power Lynden Anaerobic",10426,0,100.00%,"2013","CCO-0","Compliance",2019-07-12,2016-07-12,2016-07-12,"CAR794"
"609","CAFR0123-G","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",262032,50000,80.92%,"2013","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"608","CALS0110-B","Livestock","Aurora Ridge Dairy,","Aurora Ridge",11375,0,100.00%,"2013","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR607"
"607","CAMM0120-D","Mine Methane","Vessels Coal Gas, Inc.","Elk Creek Coal Mine Methane",60854,6979,88.53%,"2013","CCO-0","Compliance",2019-08-23,2016-08-23,2016-08-23,"CAR891"
"606","CAFR0088-D","U.S. Forest","Shannondale Carbon,"," Shannondale",4747,4747,0.00%,"2013","CCO-0","Compliance",2019-08-31,2016-08-31,2016-08-31,"CAR780"
"605","CAFR0102-G","U.S. Forest","The Nature","Virginia Conservation Forestry",26680,26680,0.00%,"2013","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR697"
"604","CAFR0002-C","U.S. Forest","Downeast Lakes Land","Finite Carbon Farm Cove",827,827,0.00%,"2013","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR657"
"603","CAFR0105-H","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",612,0,100.00%,"2013","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"602","CAFR0106-F","U.S. Forest","Northeast Wilderness","Howland Research Forest",834,0,100.00%,"2013","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR681"
"769","CAOD5002-A","Ozone Depleting Substances","Environmental Credit","ECC ODS Destruction 2012",306517,134808,56.02%,"2012","CCO-0","Compliance",2015-09-23,2012-09-23,2013-09-23,"ACR170"
"768","CAOD0004-A","Ozone Depleting Substances","RapRec Refrigerants,","RR 2012 1",117496,70000,40.42%,"2012","CCO-0","Compliance",2016-09-23,2013-09-23,2013-09-23,"CAR959"
"767","CAOD0019-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",80612,80612,0.00%,"2012","CCO-0","Compliance",2016-09-23,2013-09-23,2013-09-23,"CAR981"
"766","CAOD0025-A","Ozone Depleting Substances","RapRec Refrigerants,","RR 2012 1",54497,54497,0.00%,"2012","CCO-8","Early Action",2021-09-23,2013-09-23,2013-09-23,"CAR959"
"765","CAOD0039-A","Ozone Depleting Substances","Perfect Score","Perfect Cycle ODS:1",52500,51039,2.78%,"2012","CCO-8","Early Action",2021-09-23,2013-09-23,2013-09-23,"CAR945"
"764","CALS0032-A","Livestock","Origin Climate Inc.","Pagel's Ponderosa Dairy",16461,16461,0.00%,"2012","CCO-0","Compliance",2016-11-12,2013-11-12,2013-11-12,"CAR532"
"763","CAOD0006-C","Ozone Depleting Substances","Environmental Credit","ECC:ODS:PA:003",142199,124947,12.13%,"2012","CCO-0","Compliance",2016-11-12,2013-11-12,2013-11-12,"CAR947"
"762","CAFR0001-I","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",129451,79451,38.62%,"2012","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"761","CAOD0051-A","Ozone Depleting Substances","Pure Chem","PCS Domestic ODS",232039,202062,12.92%,"2012","CCO-8","Compliance",2021-12-10,2013-12-10,2013-12-10,"CAR952"
"760","CAOD0052-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",45156,45156,0.00%,"2012","CCO-8","Early Action",2021-12-10,2013-12-10,2013-12-10,"CAR960"
"759","CAFR0047-G","U.S. Forest","Potlatch Forest"," Potlatch Moro",5187,5187,0.00%,"2012","CCO-0","Compliance",2016-12-24,2013-12-24,2013-12-24,"CAR648"
"758","CALS0012-A","Livestock","Camco International","Riverview Farm Anaerobic",23646,23646,0.00%,"2012","CCO-0","Early Action",2016-12-24,2013-12-24,2013-12-24,"CAR449"
"757","CALS0014-B","Livestock","Camco International","West River Farm Anaerobic",16160,16160,0.00%,"2012","CCO-0","Early Action",2016-12-24,2013-12-24,2013-12-24,"CAR450"
"756","CAOD0066-A","Ozone Depleting Substances","Wilshire Stanford","WSO 2011 2",46215,46215,0.00%,"2012","CCO-8","Compliance",2022-01-21,2014-01-21,2014-01-21,"CAR906"
"755","CAOD0050-A","Ozone Depleting Substances","Pure Chem","PCS Domestic ODS",72653,0,100.00%,"2012","CCO-8","Compliance",2022-02-11,2014-02-11,2014-02-11,"CAR954"
"754","CALS0013-B","Livestock","Camco International","Central Sands Dairy LLC",12877,12000,6.81%,"2012","CCO-0","Early Action",2017-03-25,2014-03-25,2014-03-25,"CAR479"
"753","CAOD0054-A","Ozone Depleting Substances","Reclamation","RemTec ODS Destruction",120267,120267,0.00%,"2012","CCO-0","Early Action",2017-04-08,2014-04-08,2014-04-08,"CAR974"
"752","CAOD0054-B","Ozone Depleting Substances","Reclamation","RemTec ODS Destruction",36615,23263,36.47%,"2012","CCO-0","Early Action",2017-04-08,2014-04-08,2014-04-08,"CAR974"
"751","CALS0020-B","Livestock","Camco International","Bridgewater Dairy LLC",13897,0,100.00%,"2012","CCO-0","Compliance",2017-04-22,2014-04-22,2014-04-22,"CAR474"
"750","CALS0023-A","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",5899,5899,0.00%,"2012","CCO-0","Compliance",2017-04-22,2014-04-22,2014-04-22,"CAR477"
"749","CALS0024-A","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",19108,19108,0.00%,"2012","CCO-0","Early Action",2017-04-22,2014-04-22,2014-04-22,"CAR478"
"748","CALS0015-B","Livestock","Camco International","District 45 Dairy",10811,10811,0.00%,"2012","CCO-0","Compliance",2017-05-13,2014-05-13,2014-05-13,"CAR775"
"747","CALS0046-C","Livestock","Environmental Credit","Hidden View Dairy",20299,20299,0.00%,"2012","CCO-0","Compliance",2017-05-13,2014-05-13,2014-05-13,"CAR489"
"746","CALS0055-A","Livestock","Camco International","Double A Dairy",34939,34939,0.00%,"2012","CCO-0","Early Action",2017-05-13,2014-05-13,2014-05-13,"CAR956"
"745","CAFR0042-F","U.S. Forest","The Conservation","Gualala River Forest",81945,81945,0.00%,"2012","CCO-8","Early Action",2022-05-27,2014-05-27,2014-05-27,"CAR660"
"744","CAOD0053-A","Ozone Depleting Substances","Reclamation","RemTec International ODS",90214,0,100.00%,"2012","CCO-8","Early Action",2022-05-27,2014-05-27,2014-05-27,"CAR818"
"743","CALS0048-B","Livestock","Environmental Credit","Bos Dairy",1746,1746,0.00%,"2012","CCO-0","Compliance",2017-06-10,2014-06-10,2014-06-10,"CAR440"
"742","CALS0036-B","Livestock","Origin Climate Inc.","Brook View Dairy",16583,16583,0.00%,"2012","CCO-0","Compliance",2017-07-22,2014-07-22,2014-07-22,"CAR419"
"741","CALS0043-A","Livestock","Camco International","Vanderhyde Dairy",5914,5914,0.00%,"2012","CCO-0","Compliance",2017-07-22,2014-07-22,2014-07-22,"CAR944"
"740","CALS0021-A","Livestock","Camco International","Willow Point Dairy, LLC",11648,11648,0.00%,"2012","CCO-0","Early Action",2017-08-12,2014-08-12,2014-08-12,"CAR463"
"739","CALS0056-B","Livestock","Environmental Credit","Herrema Dairy",10567,10567,0.00%,"2012","CCO-0","Compliance",2017-08-12,2014-08-12,2014-08-12,"CAR487"
"738","CALS0044-A","Livestock","Camco International","Green Meadow Farm",4565,3159,30.80%,"2012","CCO-8","Early Action",2022-08-12,2014-08-12,2014-08-12,"CAR412"
"737","CALS0060-C","Livestock","Environmental Credit","Windy Ridge Dairy",14297,0,100.00%,"2012","CCO-0","Compliance",2017-08-26,2014-08-26,2014-08-26,"CAR488"
"736","CAOD0090-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas US ODS Project 2",163884,59394,63.76%,"2012","CCO-8","Compliance",2022-09-23,2014-09-23,2014-09-23,"CAR948"
"735","CALS0083-A","Livestock","Camco International","The Dry Creek Dairy",3359,0,100.00%,"2012","CCO-0","Compliance",2017-10-07,2014-10-07,2014-10-07,"CAR402"
"734","CAFR0080-D","U.S. Forest","Heartwood Forestland"," The Forestland",39079,0,100.00%,"2012","CCO-0","Early Action",2017-11-12,2014-11-12,2014-11-12,"CAR645"
"733","CALS0034-C","Livestock","Origin Climate Inc.","Green Valley Dairy",1708,0,100.00%,"2012","CCO-0","Early Action",2018-02-10,2015-02-10,2015-02-10,"CAR504"
